Date,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
01/02/2007,-0.012897511,0,-0.043918622,0.007734848,-0.006510288,0.003238191,0.047618997,0.021513518,-0.023385873,-0.045496645,-0.033317873,-0.024793388,0.004471005,-0.038317723,0.033492828
01/03/2007,-0.024390234,-0.025675405,-0.042402762,0.060672622,0.045216059,0.025823411,-0.013816735,0.023589319,0.068050559,0.014213958,-0.001941406,-0.049576254,-0.038575267,0.039844472,0.028356394
01/04/2007,0.082650351,0.038148645,0.059040512,0.07192237,-0.013792932,0.001852734,0.037222337,0.050206063,0.024456476,0.024201296,0.066349438,0.092287096,0.259259076,-0.083177562,0.04108056
01/05/2007,-0.010327223,-0.007560325,0.101045493,0.194272798,-0.004449912,0.103159364,-0.095928031,0.089692299,-0.001768435,-0.050094252,0.047926467,-0.012244898,0.095980091,-0.00815469,0.006654318
01/06/2007,-0.03304341,-0.036010924,0.062025219,0.042779004,-0.057471574,-0.007597737,0.004519526,-0.052746801,0.077934789,-0.061985967,-0.305188752,-0.041322314,0,-0.104316622,-0.087738566
01/07/2007,0.003597152,0.004310234,-0.060933677,-0.057747318,-0.025814097,-0.057715069,-0.038314842,-0.052591281,-0.042288453,-0.013859501,-0.11645577,0.034482759,-0.028881227,-0.010893128,-0.0256868
01/08/2007,-0.023297333,-0.122317817,0.065332982,-0.048807617,0.056939197,0.028124863,0.031872923,-0.02285611,-0.034631995,0.021622044,-0.057306513,-0.029166667,-0.05204403,0.070922202,0.042305251
01/09/2007,0.015363934,-0.011493846,0.104505789,0.242375738,0.055892197,0.077572587,0.011213388,0.040000159,0.027727864,0.055025961,0.083080132,0.012875536,-0.097548001,-0.071743963,0.033529469
01/10/2007,0.005529722,0.014273867,0.070821367,0.061967652,0.02232174,0.044520617,-0.045489317,0.016181205,0.101322346,-0.029086735,0.055191772,0.466101695,0.049233959,-0.012890929,0.110984345
01/11/2007,-0.092575467,-0.0678807,-0.035978434,0.256124833,0.024953079,0.031147147,0.051446577,-0.025478813,-0.056000012,-0.108471204,-0.032918303,0.037572254,-0.189780219,-0.083941641,-0.011648624
01/12/2007,-0.046464757,-0.104795706,0.054724743,-0.057269454,0.03007662,0.041335661,-0.006987855,0.110295679,0.051180715,0.066048433,-0.051498054,0.48189415,-0.088803113,0,-0.003653003
01/01/2008,-0.073093195,-0.067460511,-0.066559955,-0.067895487,-0.071942258,-0.086513745,-0.07584057,-0.25161751,-0.134959808,-0.041304079,-0.015301107,-0.116541353,0.079094817,0.069432995,-0.126244288
01/02/2008,0.036571346,0.015425587,-0.071876803,0.154156588,-0.052325844,0.055710195,-0.067681471,0.176733469,0.026315499,-0.10430862,-0.004010037,0.140425532,0.209425382,-0.008160873,-0.039568382
01/03/2008,-0.005512442,-0.050812056,-0.072526404,-0.078344825,-0.057259627,-0.002111067,-0.018648788,0.006279225,-0.050966717,-0.022477467,-0.053850062,-0.074626866,-0.134199966,-0.04493675,-0.053683052
01/04/2008,0.015981269,0.059940011,0.062292647,0.129562517,0.013015168,0.028867504,0.051594425,-0.004680269,0.193359224,0.051567976,0.041908281,0.203629032,0.132500988,0.031223158,0.131926494
01/05/2008,-0.11213881,-0.17853229,0.01216489,0.024361457,0.064953477,-0.004744066,0.004974737,0.018525766,-0.004909906,0.137512947,0.038719719,0.084589615,-0.066092467,-0.083117197,-0.01632528
01/06/2008,-0.190755192,-0.222666715,-0.080739418,-0.007597305,-0.114611205,-0.07891964,-0.000449008,-0.09433972,-0.029995659,-0.060688266,0.07952287,0.093436293,-0.129186482,-0.127478768,-0.108186476
01/07/2008,-0.049879385,0.159519844,-0.03552119,-0.11133292,0.040977999,0.051179119,0.05660402,0.000868443,-0.105872275,-0.062679766,-0.035911709,-0.098163842,0.024725098,0.060957895,-0.024099787
01/08/2008,0.028789366,0.044378524,0.036751084,-0.02078661,0.069610958,0.018052522,0.114663171,0.083260866,0.013901934,0.071975531,0.09360077,0.246671887,0.027074637,0.052631181,0.058546089
01/09/2008,-0.227171208,-0.041060961,-0.130095523,-0.336201922,-0.00069969,-0.002537623,-0.065946936,-0.103401768,-0.110756969,-0.069999956,-0.116157205,-0.118718593,0.045033981,-0.080882242,0.015989733
01/10/2008,-0.126710874,-0.452067259,-0.029340251,-0.168638036,-0.014706068,-0.073569519,-0.011560462,-0.018018109,0.093211257,-0.114183477,-0.210968245,-0.257305773,-0.155893216,-0.115846952,-0.124355348
01/11/2008,-0.150657327,-0.053102046,0.068009972,-0.438547468,-0.038379414,-0.001176546,-0.052946629,-0.014679039,0.038442782,-0.039884047,0.07816691,0.05950096,0.064563723,-0.133822344,-0.122035999
01/12/2008,-0.249999843,-0.094451192,0.132247441,-0.073383024,0.011086259,0.060070709,0.146874646,-0.058659077,0.016296288,0.023479846,0.059245974,-0.104166667,-0.060648059,-0.025396534,0.219099261
